,JobCode,deptcount,srhrs,midhrs,jrhrs,totalhrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
926,B6385,6,125,632.25,63,820.25,1,264,197,379,18,7,0
1613,10797434,7,127,423.75,270.75,821.5,1,91,98,381,21,7,1
1076,10804755,6,244,147.75,430,821.75,1,60,52,187,19,4,1
699,B6028,6,259,263.5,300,822.5,1,77,75,222,18,5,1
378,10804438,8,34,509,279.5,822.5,4,79,53,274,29,14,0
1276,C6306,7,113,63,648.75,824.75,1,134,112,270,15,4,1
281,10812910,10,128,265.75,432,825.75,1,338,271,575,27,11,0
1348,10848795,2,0,0,826,826,1,1,211,187,5,5,1
1708,C6482,9,345,363,120.5,828.5,2,95,60,218,22,0,1
64,10856542,4,644.75,162.5,22,829.25,1,65,151,106,16,4,0
1017,C6954,9,169.25,640.5,19.5,829.25,1,36,53,163,17,0,0
1286,A6802,7,285.75,167.75,376.25,829.75,3,46,45,354,34,0,1
1386,10824053,5,76.25,561.75,192.5,830.5,1,143,112,412,18,6,1
1700,M5181,5,122.75,364.5,345.25,832.5,2,450,378,912,27,8,1
747,B6435,6,63,639.5,130,832.5,2,60,89,114,14,5,1
1323,B6940,4,483.5,252,98,833.5,1,82,143,58,8,5,1
1444,A6111,8,147,317.25,371,835.25,2,56,66,204,24,8,1
137,C6213,3,338.75,316,183,837.75,1,141,286,144,9,4,0
1393,A7254,9,149.5,461.25,227.25,838,1,74,87,381,25,11,1
672,A6166,7,246,444,150,840,3,40,52,207,18,0,1
1231,N8554,6,384.25,217.75,238.75,840.75,3,84,52,99,14,5,1
325,C5661,8,64.5,522.75,254,841.25,3,73,86,243,26,11,1
310,K7499,7,133,240.25,469,842.25,3,50,60,291,18,10,1
897,M5117,8,256.5,224,364.5,845,1,91,94,318,23,12,1
1142,10804765,8,266.5,407.5,171.25,845.25,3,361,294,834,35,6,0
1567,10804813,6,44,612.75,190.5,847.25,2,130,147,235,14,5,1
1640,10803847,1,16,548.5,283.25,847.75,1,171,182,626,18,9,0
1269,10804249,6,256.75,275,317,848.75,2,138,107,254,20,8,1
631,A6191,8,210,456.5,182.5,849,1,17,31,138,20,7,1
402,C6652,6,31.5,490.5,327,849,1,281,246,415,19,8,1
1756,10803632,6,328.5,386,135,849.5,2,215,137,522,24,0,1
1258,10804088,6,346.25,369.75,136,852,3,312,364,411,17,9,1
944,A6246,3,563.5,251,38,852.5,3,18,35,112,12,0,1
1148,10803679,3,299,246,309.5,854.5,2,29,74,45,10,4,1
1067,A7908,10,87.5,298,469,854.5,3,151,140,639,34,4,1
1618,10803639,7,190,662.75,2,854.75,2,588,443,776,24,8,1
1092,A6272,8,479,298,78.25,855.25,1,25,73,159,18,4,0
117,10811462,9,526.5,183,146.5,856,1,171,75,281,26,4,1
873,10804393,6,271.25,419,167,857.25,4,197,90,444,29,6,0
715,C5228,9,314.5,359,184.5,858,2,241,237,678,28,0,1
142,J6639,3,176,112,571,859,2,134,266,189,12,4,1
863,A6180,4,6,854,0,860,2,11,100,93,8,6,1
1608,10870002,8,196.5,408,257.5,862,1,117,54,143,22,8,0
1667,C6076,7,396.25,322,144,862.25,1,155,103,325,24,8,1
659,10805172,9,325.5,537.25,0,862.75,1,116,75,194,21,12,0
1409,A6694,8,233.5,263.25,366,862.75,4,203,150,362,25,0,1
970,10885499,6,130.75,528.5,203.5,862.75,2,133,79,94,15,7,0
323,10804526,8,384.5,170.5,308.5,863.5,3,782,580,1288,32,7,0
317,10803922,3,51.5,767.5,45,864,3,200,335,512,10,4,0
1425,B6953,6,329,469,67.25,865.25,1,358,309,558,24,10,0
1581,C5861,8,499,367.5,1.5,868,1,214,128,270,23,0,1
679,S9316,2,260.5,318.75,289.5,868.75,2,88,198,585,16,11,1
931,B6628,7,205,226,439,870,1,45,81,264,19,7,1
1323,10804914,6,511,168.5,192,871.5,1,48,39,109,18,11,1
838,10804916,12,435.25,320,117.5,872.75,3,1305,421,1733,41,12,0
216,10804760,3,26.5,768,79,873.5,1,63,140,101,9,4,1
1514,A6418,8,97.5,159,617.25,873.75,1,22,59,153,21,7,0
822,J6394,8,479.5,172.5,223,875,3,307,346,298,16,0,0
1470,10887453,7,265.25,393.75,216,875,3,75,42,70,18,7,0
1732,D5096,10,55.5,683,140.75,879.25,2,159,175,385,23,0,0
868,E6910,8,387,384.5,108,879.5,1,37,37,102,15,8,0
1093,10821732,5,268.5,267.5,343.75,879.75,1,83,118,75,16,17,1
637,10805082,7,374,292.5,214,880.5,2,303,198,826,26,8,1
146,10785936,7,146,334.75,400,880.75,1,95,92,310,18,7,1
1380,C6354,7,327,344.5,210.75,882.25,2,74,68,373,25,11,1
887,10804793,8,445,283,155.25,883.25,2,128,75,207,25,4,1
71,10860748,6,158.75,337.5,387,883.25,1,207,228,733,27,10,1
669,10805181,7,406.25,124.5,353.5,884.25,1,342,424,597,21,14,0
787,A6505,7,428,234.25,223.5,885.75,1,98,110,265,22,6,1
1594,10804867,7,158.75,590,137,885.75,2,408,178,332,23,10,1
1072,10825468,5,321.75,541.75,25,888.5,1,4,37,125,15,6,1
1329,C6483,8,190,493,206,889,2,112,107,290,22,5,0
371,D6129,7,250,278.25,361.75,890,2,179,144,576,25,4,0
284,10804157,6,235.5,443.5,211.5,890.5,2,253,245,390,20,15,1
729,10699627,8,197,667.25,29.5,893.75,3,342,222,923,28,11,0
1224,A6895,2,0,868,27,895,4,18,113,50,7,5,0
390,10804889,2,452,443.25,0,895.25,2,32,91,122,5,4,1
1565,B6177,6,372.25,417.5,107,896.75,1,32,80,86,16,7,1
1310,10804389,4,25.75,403.25,469.5,898.5,2,29,87,92,9,9,0
224,S5460,5,771,16.5,113,900.5,2,78,109,134,14,4,1
1135,10804108,9,713.75,178.75,9,901.5,3,161,159,196,21,6,1
613,10831422,2,6.75,897,0,903.75,1,33,208,79,3,4,1
227,G8120,2,542,362,0,904,2,13,130,10,3,4,1
954,10857000,8,234,379,291.5,904.5,1,68,62,116,23,9,0
1825,B6641,3,31,223.5,650,904.5,2,36,63,94,8,5,0
644,C6221,7,45,315,546,906,1,25,63,153,24,11,1
382,10824623,6,270.75,556.25,80,907,1,195,105,468,28,7,1
928,10803586,5,780.25,110,17.5,907.75,2,116,189,522,17,5,1
1696,10866625,7,763.25,120,27,910.25,3,49,46,90,16,10,1
1525,B6874,9,237,524.5,150.5,912,1,137,75,305,28,7,0
1282,B6190,7,304.5,281.75,326.5,912.75,1,236,165,431,23,5,1
1636,J6608,7,235.75,278.75,400,914.5,4,463,257,807,27,11,1
1554,B6694,7,368.5,466.5,80,915,1,199,243,276,11,4,0
649,B6642,6,239,504.5,171.75,915.25,2,50,59,163,24,4,0
1484,C5369,7,94.5,169.5,651.5,915.5,5,666,362,688,26,7,1
292,10803810,9,567,166,183,916,2,440,272,541,21,0,1
1052,C6012,9,23,464.75,429,916.75,1,17,70,170,21,7,0
763,10804919,9,388.5,285.75,243,917.25,3,731,571,1000,27,0,0
463,B6500,2,0,615,303,918,4,17,58,32,8,5,0
743,A6639,10,117.75,326.5,479,923.25,3,390,228,444,27,6,1
1062,10804675,10,44.25,190.5,688.75,923.5,2,343,176,583,34,0,1
271,C5326,3,133.5,672.75,118,924.25,2,109,234,287,14,0,1
1225,10804542,7,391,146.75,387.5,925.25,2,134,107,272,20,9,0
1066,A6838,4,66,634,226,926,3,69,101,254,13,9,1
1404,10804552,5,273.75,265.25,388,927,2,373,218,567,24,0,1
770,C6848,6,87,468.5,372.25,927.75,2,60,67,78,15,8,1
1395,10711219,7,367.5,457.25,104.25,929,3,63,63,292,25,6,1
92,C5964,8,103.25,555.5,271,929.75,2,129,143,270,20,0,1
1094,A6708,8,342,295.25,293,930.25,2,48,79,184,19,6,1
867,A6369,7,66,525,345.25,936.25,2,61,85,185,19,5,1
809,10804547,6,75,752.5,109.25,936.75,1,239,175,219,23,7,0
997,10849194,7,330.75,259,348,937.75,1,50,32,90,22,4,0
615,A6593,6,267.5,545.5,126,939,2,7,33,53,13,0,1
427,B6887,4,105,127,707.25,939.25,2,52,52,119,16,4,1
1012,10803668,4,205,629.75,105,939.75,3,281,172,621,26,6,0
217,10832049,6,190,606.5,145.5,942,1,34,43,79,15,7,0
1165,D6138,8,22,614.5,306.25,942.75,2,133,125,622,32,7,0
1043,10860229,6,222.5,360,361,943.5,1,75,74,128,20,10,0
876,C6013,7,51.25,514.75,378.25,944.25,3,140,145,542,29,7,0
1814,10803548,3,467.5,457,20,944.5,4,77,95,144,9,5,0
1197,C6369,8,509,330.5,107.25,946.75,1,106,57,222,29,10,1
1259,D6137,8,222,364.25,361.25,947.5,1,96,61,150,22,4,0
1239,A7396,7,265,434,250,949,2,58,89,180,16,5,0
925,T5050,4,655.25,294,0,949.25,2,36,66,128,11,7,1
1755,B6706,9,617.75,266,66.5,950.25,3,180,129,740,34,10,1
1089,10837669,6,189.75,510.25,253.75,953.75,2,79,70,228,26,6,1
1685,10803817,7,288.5,429,237,954.5,1,156,107,400,27,9,1
1720,10804417,7,294.25,426.5,234.75,955.5,2,182,181,447,23,6,1
1507,10857369,6,365.75,451.5,142,959.25,2,128,107,113,19,10,0
804,10804281,5,604.75,239,117.25,961,3,91,74,117,15,5,1
666,A6293,9,749,149.5,63.5,962,2,125,70,346,33,6,1
334,H9159,10,605.75,211,148,964.75,6,166,134,351,25,6,1
215,B6928,6,464,310.5,193.5,968,2,102,112,131,19,7,1
403,10804903,7,358,254,356,968,1,62,81,165,21,7,0
957,10804698,9,162,541,265,968,1,52,87,154,21,4,0
1566,10804990,6,32.75,780.25,156,969,3,192,105,555,28,11,0
702,M7172,3,133,149.5,689.5,972,3,150,188,217,14,10,0
1280,B6650,9,682.75,246.5,43,972.25,3,397,210,753,33,8,1
1492,C6340,6,235.5,527.5,213.5,976.5,2,304,187,560,25,0,0
1031,10824504,8,574.5,284.5,119,978,2,247,174,295,20,8,1
1562,10804798,11,109.5,338,532,979.5,1,21,103,406,36,8,1
1639,10805271,8,331,383,268,982,1,182,121,472,28,6,0
1623,10804196,7,274.5,367,340.5,982,3,95,51,319,34,8,1
1607,10847789,8,554,357.25,71.5,982.75,2,466,228,657,29,8,0
272,10813079,9,53,348,584.5,985.5,1,87,97,250,25,8,0
728,10803734,5,201.5,493,294.75,989.25,2,200,86,375,29,6,0
210,S5195,3,20.25,359.25,610.5,990,2,745,408,1992,34,5,0
1136,C6773,7,245.5,377.5,367.5,990.5,2,178,127,318,27,10,0
1341,C6279,7,302,386,303,991,3,37,75,369,22,0,0
1759,A6067,5,4,663,324.5,991.5,1,219,271,242,14,10,0
783,K7526,6,269.25,501,222,992.25,2,137,144,220,13,8,1
