,JobCode,deptcount,srhrs,midhrs,jrhrs,Psrhrs,Pmidhrs,PjrHrs,officecount,ptodays,pjduration,additionalassignments,teamsize,projtags,overbudget
266,10805018,7,82.0,199.25,367.0,0.12649440802159662,0.30736598534516,0.5661396066332434,2,93,94,170,23,11,1
267,10800595,8,241.75,1059.0,24.0,0.18248726174749952,0.7993961124740517,0.018116625778448765,2,124,150,106,15,5,1
268,10803840,5,162.0,17.0,22.0,0.8059701492537313,0.0845771144278607,0.10945273631840796,3,0,9,39,10,4,1
269,10812169,2,1.5,1.0,6.25,0.17142857142857143,0.11428571428571428,0.7142857142857143,1,18,65,72,6,4,0
270,10812170,7,125.0,79.0,32.0,0.5296610169491526,0.3347457627118644,0.13559322033898305,1,76,151,129,12,5,1
271,10812072,8,1011.5,870.5,585.75,0.4098875493870935,0.35275048120757774,0.23736196940532875,2,129,130,234,22,4,1
272,10813079,9,53.0,348.0,584.5,0.053779807204464736,0.3531202435312024,0.5930999492643328,1,87,97,252,25,8,0
273,10812148,8,324.5,700.5,318.5,0.2415333085225158,0.521399330107927,0.23706736136955714,3,90,106,108,13,9,1
274,10811462,9,526.5,183.0,146.5,0.615070093457944,0.21378504672897197,0.1711448598130841,1,171,75,281,26,4,1
275,10812075,8,89.0,1047.75,514.0,0.05391488717249735,0.6347114947751022,0.31137361805240044,1,345,151,280,26,9,0
276,10812150,4,206.0,55.5,54.0,0.652931854199683,0.17591125198098256,0.17115689381933438,1,48,43,38,10,5,1
277,10812910,10,128.0,265.75,432.0,0.15501059642749015,0.32182864062973054,0.5231607629427792,1,338,271,577,27,11,0
278,10813067,5,18.0,0.0,10.0,0.6428571428571429,0.0,0.35714285714285715,2,7,23,23,8,14,1
279,10817440,2,0.0,0.0,59.0,0.0,0.0,1.0,2,0,90,35,3,7,0
280,10813873,3,0.0,222.5,8.0,0.0,0.96529284164859,0.03470715835140998,2,21,141,122,6,4,0
281,10814990,7,104.0,434.0,80.5,0.16814874696847212,0.7016976556184317,0.1301535974130962,1,50,72,135,18,6,1
282,10814494,5,84.5,32.5,176.0,0.2883959044368601,0.11092150170648464,0.6006825938566553,1,165,182,211,13,5,0
283,10814832,6,4.0,121.0,152.5,0.014414414414414415,0.436036036036036,0.5495495495495496,2,115,226,166,15,5,0
284,10814996,7,97.0,204.5,145.5,0.21700223713646533,0.4574944071588367,0.32550335570469796,1,45,37,109,18,6,1
285,10814998,11,5705.25,6597.75,820.25,0.4347436801097289,0.5027527479854457,0.0625035719048254,2,884,336,563,42,4,0
286,10815066,8,103.25,923.0,133.5,0.08902780771718043,0.7958611769777969,0.11511101530502263,1,116,119,274,23,7,0
287,10816629,4,116.5,47.0,234.0,0.2930817610062893,0.11823899371069183,0.5886792452830188,1,35,38,75,11,9,1
288,10816758,8,82.75,825.5,346.0,0.06597568267889177,0.658162248355591,0.27586206896551724,3,253,105,520,38,15,0
289,10817308,7,76.0,172.75,128.0,0.20172528201725282,0.45852687458526875,0.33974784339747843,1,22,106,151,13,6,0
